reinforcement_ratio,warning_signal_points,warning_pecks,punishment_period,feed_time,total_reinforcements,skip_to_next_value,warning_alarm_volume,warning_display_volume,punishment_condition,subject,is_spot_on,random_warning,Time,Reinforcers,Quarter,Pecks,Event,x,y
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:08.039682,11,1,1,peck,0.7277777777777777,0.3666666666666667,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:08.040230,11,1,1,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:08.126236,12,1,1,reinforcement,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:13.128849,12,1,1,starting-again,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:17.902973,12,1,1,peck,0.7270833333333333,0.31666666666666665,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:17.903521,12,1,1,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:17.998368,13,1,1,reinforcement,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:22.996742,13,1,1,starting-again,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:25.355344,13,1,1,peck,0.7277777777777777,0.34111111111111114,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:25.417074,13,1,1,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:25.505232,14,1,1,reinforcement,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:30.508258,14,1,1,starting-again,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:33.565116,14,1,1,peck,0.7756944444444445,0.39222222222222225,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:34.873814,14,1,1,peck,0.7395833333333334,0.35444444444444445,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:34.936280,14,1,1,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:35.033094,15,1,1,reinforcement,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:40.029406,15,1,1,starting-again,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:41.269464,15,1,1,peck,0.7590277777777777,0.3422222222222222,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:42.443340,15,1,1,peck,0.7270833333333333,0.31666666666666665,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:42.443889,15,1,1,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:42.537187,16,1,1,reinforcement,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:47.539406,16,1,1,starting-again,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:52.615374,16,1,1,peck,0.775,0.36777777777777776,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:53.316751,16,1,1,peck,0.7277777777777777,0.34111111111111114,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:57.296413,16,1,1,peck,0.775,0.3422222222222222,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:58.433856,16,1,1,peck,0.7277777777777777,0.3666666666666667,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:58.434405,16,1,1,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:04:58.518736,17,1,1,reinforcement,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:05:03.525931,17,1,1,starting-again,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:05:07.105095,17,1,1,peck,0.775,0.3422222222222222,False
