Time,Reinforcers,Quarter,Pecks,Event,x,y
0:00:00.007087,0,1,0,Start,0,0
0:00:12.840192,0,1,0,peck,0.3421309872922776,0.7445742904841403
0:00:13.064374,0,1,1,green,0,0
0:00:14.647226,0,1.0,1,peck,0.31378299120234604,0.7362270450751252
0:00:14.728140,0,1.0,2,green,0,0
0:00:15.231460,0,1.0,2,warning-1.0,0,0
0:00:15.862184,0,1.0,2,peck,0.31378299120234604,0.7378964941569282
0:00:15.864547,0,1.0,3,green,0,0
0:00:15.866081,0,1.0,3,peck,0.31378299120234604,0.7378964941569282
0:00:15.869140,0,1.0,4,green,0,0
0:00:19.102227,0,1.0,4,peck,0.7008797653958945,0.7145242070116862
0:00:19.238269,0,1.0,4,red-1.0,0,0
0:00:22.265887,0,1.0,4,peck,0.6197458455522972,0.7963272120200334
0:00:22.487409,0,1.0,4,after,0,0
