Time,Operant,Reinforcers,Event,x,y
0:00:04.958684,??,0,click,0.3225806451612903,0.7128547579298832
0:00:05.161748,01,0,click,0.3225806451612903,0.7128547579298832
0:00:05.408612,02,0,click,0.3225806451612903,0.7128547579298832
0:00:05.648483,03,0,click,0.3225806451612903,0.7128547579298832
0:00:05.880420,04,0,click,0.3225806451612903,0.7128547579298832
0:00:06.113421,05,0,click,0.3225806451612903,0.7128547579298832
0:00:06.347367,06,0,click,0.3225806451612903,0.7128547579298832
0:00:06.586728,07,0,click,0.3225806451612903,0.7128547579298832
0:00:06.825528,08,0,click,0.3225806451612903,0.7128547579298832
0:00:08.095965,09,0,click,0.3225806451612903,0.7128547579298832
0:00:16.726702,00,1,click,0.3010752688172043,0.7445742904841403
0:00:17.438654,01,1,click,0.3010752688172043,0.7445742904841403
0:00:18.274658,02,1,click,0.3010752688172043,0.7445742904841403
0:00:18.897628,03,1,click,0.3010752688172043,0.7445742904841403
0:00:19.782955,04,1,click,0.3010752688172043,0.7445742904841403
0:00:20.754704,05,1,click,0.3010752688172043,0.7445742904841403
0:00:22.307782,06,1,click,0.3010752688172043,0.7445742904841403
0:00:23.251772,07,1,click,0.3010752688172043,0.7445742904841403
0:00:24.655912,08,1,click,0.3010752688172043,0.7445742904841403
0:00:27.438932,09,1,click,0.3010752688172043,0.7445742904841403
0:00:33.059315,00,2,click,0.3010752688172043,0.7445742904841403
0:00:33.679136,01,2,click,0.3010752688172043,0.7445742904841403
0:00:34.164599,02,2,click,0.3010752688172043,0.7445742904841403
0:00:34.596142,03,2,click,0.3010752688172043,0.7445742904841403
0:00:34.809374,04,2,click,0.3010752688172043,0.7445742904841403
0:00:34.977500,05,2,click,0.3010752688172043,0.7445742904841403
0:00:35.139819,06,2,click,0.3010752688172043,0.7445742904841403
0:00:35.302765,07,2,click,0.3010752688172043,0.7445742904841403
0:00:35.548473,08,2,click,0.3010752688172043,0.7445742904841403
0:00:36.087147,09,2,click,0.3010752688172043,0.7445742904841403
0:00:40.247899,00,3,click,0.3010752688172043,0.7445742904841403
0:00:40.638061,01,3,click,0.3010752688172043,0.7445742904841403
0:00:40.852463,02,3,click,0.3010752688172043,0.7445742904841403
0:00:41.017183,03,3,click,0.3010752688172043,0.7445742904841403
0:00:41.181279,04,3,click,0.3010752688172043,0.7445742904841403
0:00:41.346002,05,3,click,0.3010752688172043,0.7445742904841403
0:00:41.511123,06,3,click,0.3010752688172043,0.7445742904841403
0:00:41.699252,07,3,click,0.3010752688172043,0.7445742904841403
0:00:42.281808,08,3,click,0.3010752688172043,0.7445742904841403
0:00:43.127838,09,3,click,0.3010752688172043,0.7445742904841403
0:00:51.829337,00,4,click,0.32453567937438904,0.7529215358931552
0:00:52.312646,01,4,click,0.32453567937438904,0.7529215358931552
0:00:52.622332,02,4,click,0.32453567937438904,0.7529215358931552
0:00:52.743855,03,4,click,0.32453567937438904,0.7529215358931552
0:00:52.930785,04,4,click,0.32453567937438904,0.7529215358931552
0:00:53.116134,05,4,click,0.32453567937438904,0.7529215358931552
0:00:53.287856,06,4,click,0.31867057673509286,0.7529215358931552
0:00:53.507222,07,4,click,0.31867057673509286,0.7529215358931552
0:00:54.100626,08,4,click,0.31867057673509286,0.7529215358931552
0:00:55.156110,09,4,click,0.31867057673509286,0.7529215358931552
0:01:00.661663,00,5,click,0.31867057673509286,0.7529215358931552
0:01:00.936123,01,5,click,0.31867057673509286,0.7529215358931552
0:01:01.321670,02,5,click,0.31867057673509286,0.7529215358931552
0:01:01.532217,03,5,click,0.31867057673509286,0.7529215358931552
0:01:01.731569,04,5,click,0.31867057673509286,0.7529215358931552
0:01:01.977566,05,5,click,0.31867057673509286,0.7529215358931552
0:01:02.165254,06,5,click,0.31867057673509286,0.7529215358931552
0:01:02.449977,07,5,click,0.31867057673509286,0.7529215358931552
0:01:02.951823,08,5,click,0.31867057673509286,0.7529215358931552
0:01:03.969805,09,5,click,0.31867057673509286,0.7529215358931552
0:01:04.574730,10,6,click,0.31867057673509286,0.7529215358931552
0:01:08.136111,00,6,click,0.31867057673509286,0.7529215358931552
0:01:08.441531,01,6,click,0.31867057673509286,0.7529215358931552
0:01:08.604508,02,6,click,0.31867057673509286,0.7529215358931552
0:01:08.767221,03,6,click,0.31867057673509286,0.7529215358931552
0:01:08.932435,04,6,click,0.31867057673509286,0.7529215358931552
0:01:09.116900,05,6,click,0.31867057673509286,0.7529215358931552
0:01:09.300533,06,6,click,0.31867057673509286,0.7529215358931552
0:01:09.558157,07,6,click,0.31867057673509286,0.7529215358931552
0:01:10.092851,08,6,click,0.31867057673509286,0.7529215358931552
0:01:13.447638,09,6,click,0.31867057673509286,0.7529215358931552
0:01:17.356175,00,7,click,0.31867057673509286,0.7529215358931552
0:01:17.649220,01,7,click,0.31867057673509286,0.7529215358931552
0:01:18.023398,02,7,click,0.31867057673509286,0.7529215358931552
0:01:18.423275,03,7,click,0.31867057673509286,0.7529215358931552
0:01:18.697575,04,7,click,0.31867057673509286,0.7529215358931552
0:01:18.910011,05,7,click,0.31867057673509286,0.7529215358931552
0:01:19.197842,06,7,click,0.31867057673509286,0.7529215358931552
0:01:19.471699,07,7,click,0.31867057673509286,0.7529215358931552
0:01:19.944448,08,7,click,0.31867057673509286,0.7529215358931552
0:01:21.929851,09,7,click,0.31867057673509286,0.7529215358931552
0:01:25.777780,00,8,click,0.31867057673509286,0.7529215358931552
0:01:26.030400,01,8,click,0.31867057673509286,0.7529215358931552
0:01:26.222432,02,8,click,0.31867057673509286,0.7529215358931552
0:01:26.480525,03,8,click,0.31867057673509286,0.7529215358931552
0:01:26.829976,04,8,click,0.31867057673509286,0.7529215358931552
0:01:27.071374,05,8,click,0.31867057673509286,0.7529215358931552
0:01:27.294036,06,8,click,0.31867057673509286,0.7529215358931552
0:01:27.735814,07,8,click,0.31867057673509286,0.7529215358931552
0:01:28.129967,08,8,click,0.31867057673509286,0.7529215358931552
0:01:28.747506,09,8,click,0.31867057673509286,0.7529215358931552
0:01:32.547431,00,9,click,0.31867057673509286,0.7529215358931552
0:01:32.775515,01,9,click,0.31867057673509286,0.7529215358931552
0:01:32.983754,02,9,click,0.31867057673509286,0.7529215358931552
0:01:33.495941,03,9,click,0.31867057673509286,0.7529215358931552
0:01:33.783182,04,9,click,0.31867057673509286,0.7529215358931552
0:01:33.946355,05,9,click,0.31867057673509286,0.7529215358931552
0:01:34.149299,06,9,click,0.31867057673509286,0.7529215358931552
