reinforcement_ratio,warning_signal_points,warning_pecks,punishment_period,feed_time,total_reinforcements,skip_to_next_value,warning_alarm_volume,warning_display_volume,punishment_condition,subject,is_spot_on,random_warning,Time,Reinforcers,Quarter,Pecks,Event,x,y
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:00.004156,0,1,0,Start,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:04.676798,0,1,0,peck,0.6879777623349548,0.31034482758620685,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:04.767750,0,1,1,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:04.854359,0,1.0,1,peck,0.6879777623349548,0.31034482758620685,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:04.942177,0,1.0,2,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.016720,0,2.0,2,peck,0.6879777623349548,0.31034482758620685,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.113683,0,2.0,3,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.212773,0,3.0,3,peck,0.6879777623349548,0.31034482758620685,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.311130,0,3.0,4,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.397639,0,4.0,4,peck,0.6879777623349548,0.31034482758620685,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.483317,0,4.0,5,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.575797,1,4.0,5,reinforcement,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.578389,1,0,5,blind-peck,0.6879777623349548,0.31034482758620685,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.665034,1,0,1,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.763079,1,1.0,1,blind-peck,0.6879777623349548,0.3114571746384872,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:05.824709,1,1.0,2,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:10.577520,1,1,2,starting-again,0,0,False
