reinforcement_ratio,warning_signal_points,warning_pecks,punishment_period,feed_time,total_reinforcements,skip_to_next_value,warning_alarm_volume,warning_display_volume,punishment_condition,subject,is_spot_on,random_warning,Time,Reinforcers,Quarter,Pecks,Event,x,y
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:00.005110,0,1,0,Start,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:05.478445,0,1,0,peck,0.7118055555555556,0.34111111111111114,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:05.502403,0,1,1,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:06.960521,0,1.0,1,peck,0.7118055555555556,0.34111111111111114,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:06.962296,0,1.0,2,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:07.183192,0,1.0,2,peck,0.6958333333333333,0.34111111111111114,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:07.270950,0,1.0,3,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:07.947906,0,1.0,3,peck,0.7118055555555556,0.35444444444444445,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:07.948454,0,1.0,4,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:08.243885,0,1.0,4,peck,0.6958333333333333,0.3522222222222222,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:08.356835,0,1.0,5,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:08.765498,0,1.0,5,peck,0.7118055555555556,0.34111111111111114,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:08.766047,0,1.0,6,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:09.073373,0,1.0,6,peck,0.6958333333333333,0.3666666666666667,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:09.074418,0,1.0,7,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:09.454164,0,1.0,7,peck,0.6951388888888889,0.32333333333333336,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:09.454721,0,1.0,8,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:09.823373,0,2.0,8,peck,0.7277777777777777,0.3666666666666667,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:09.824426,0,2.0,9,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:10.204862,0,2.0,9,peck,0.6965277777777777,0.37555555555555553,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:10.205905,0,2.0,10,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:10.535698,0,2.0,10,peck,0.6993055555555555,0.31666666666666665,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:10.598696,0,2.0,11,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:10.869513,0,2.0,11,peck,0.7152777777777778,0.34111111111111114,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:10.930637,0,2.0,12,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:11.151616,0,2.0,12,peck,0.6958333333333333,0.35444444444444445,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:11.214075,0,2.0,13,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:11.487753,0,2.0,13,peck,0.7111111111111111,0.3322222222222222,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:11.488275,0,2.0,14,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:12.213432,0,2.0,14,peck,0.31666666666666665,0.3633333333333333,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:12.242124,0,2.0,14,before,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:12.982404,0,2.0,14,peck,0.7277777777777777,0.35,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:12.982952,0,2.0,15,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:13.315972,0,3.0,15,peck,0.6958333333333333,0.3466666666666667,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:13.316564,0,3.0,16,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:13.599818,0,3.0,16,peck,0.6951388888888889,0.31666666666666665,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:13.600340,0,3.0,17,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:13.821905,0,3.0,17,peck,0.7118055555555556,0.3666666666666667,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:13.822421,0,3.0,18,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:14.094561,0,3.0,18,peck,0.6798611111111111,0.3666666666666667,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:14.095076,0,3.0,19,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:14.342079,0,3.0,19,peck,0.7111111111111111,0.32666666666666666,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:14.342587,0,3.0,20,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:14.466047,0,3.0,20,peck,0.7277777777777777,0.3422222222222222,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:14.578044,0,3.0,21,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:14.788747,0,3.0,21,peck,0.6958333333333333,0.3666666666666667,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:14.789263,0,3.0,22,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:15.035436,0,3.0,22,peck,0.6951388888888889,0.31666666666666665,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:15.036467,0,3.0,23,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:15.245376,0,4.0,23,peck,0.7118055555555556,0.35444444444444445,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:15.246406,0,4.0,24,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:15.356764,0,4.0,24,peck,0.6958333333333333,0.3666666666666667,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:15.431178,0,4.0,25,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:15.689904,0,4.0,25,peck,0.7111111111111111,0.31666666666666665,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:15.707479,0,4.0,26,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:15.894677,0,4.0,26,peck,0.7118055555555556,0.34111111111111114,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:15.895193,0,4.0,27,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:16.104482,0,4.0,27,peck,0.6958333333333333,0.3666666666666667,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:16.104998,0,4.0,28,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:16.327134,0,4.0,28,peck,0.6951388888888889,0.31666666666666665,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:16.327651,0,4.0,29,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:16.524924,0,4.0,29,peck,0.71875,0.32999999999999996,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:16.525432,0,4.0,30,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:16.613986,1,4.0,30,reinforcement,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:16.641485,1,0,30,blind-peck,0.7118055555555556,0.34111111111111114,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:16.727213,1,0,1,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:16.889096,1,1.0,1,blind-peck,0.6958333333333333,0.34111111111111114,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:16.951239,1,1.0,2,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:21.627919,1,1,2,starting-again,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:25.895144,1,1,2,peck,0.7125,0.41666666666666663,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:25.895692,1,1,3,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:26.363985,1,1.0,3,peck,0.6958333333333333,0.34111111111111114,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:26.364533,1,1.0,4,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:26.783879,1,1.0,4,peck,0.7111111111111111,0.31666666666666665,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:26.784908,1,1.0,5,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:27.154500,1,1.0,5,peck,0.7277777777777777,0.3666666666666667,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:27.155017,1,1.0,6,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:27.572455,1,1.0,6,peck,0.6958333333333333,0.3666666666666667,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:27.573525,1,1.0,7,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:28.359581,1,1.0,7,peck,0.30069444444444443,0.3622222222222222,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:28.360097,1,1.0,7,before,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:29.160783,1,1.0,7,peck,0.7118055555555556,0.34111111111111114,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:29.161298,1,1.0,8,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:29.543080,1,2.0,8,peck,0.6965277777777777,0.3733333333333333,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:29.543597,1,2.0,9,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:29.888629,1,2.0,9,peck,0.6833333333333333,0.31666666666666665,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:29.950250,1,2.0,10,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:30.235850,1,2.0,10,peck,0.7277777777777777,0.3422222222222222,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:30.236369,1,2.0,11,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:30.496607,1,2.0,11,peck,0.7118055555555556,0.3666666666666667,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:30.497176,1,2.0,12,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:30.831694,1,2.0,12,peck,0.7111111111111111,0.3088888888888889,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:30.832211,1,2.0,13,green,0,0,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:31.068265,1,2.0,13,peck,0.7277777777777777,0.3422222222222222,False
30,[],3,30,5,38,3,100,100,0,Pigeon,True,False,0:00:31.068781,1,2.0,14,green,0,0,False
