reinforcement_ratio,warning_signal_points,warning_pecks,punishment_period,feed_time,total_reinforcements,skip_to_next_value,warning_alarm_volume,warning_display_volume,punishment_condition,subject,is_spot_on,random_warning,Time,Reinforcers,Quarter,Pecks,Event,x,y
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:00.005109,0,1,0,Start,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:03.023924,0,1,0,peck,0.7109103544127866,0.3492769744160178,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:03.059769,0,1,1,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:03.158490,0,1.0,1,peck,0.7109103544127866,0.3492769744160178,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:03.244602,0,1.0,2,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:03.380684,0,1.0,2,peck,0.7109103544127866,0.3492769744160178,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:03.454204,0,1.0,3,green,0,0,False
