Time,Operant,Reinforcers,Event,x,y
0:00:03.381291,??,0,click,0.7083854818523154,0.7921348314606742
0:00:03.672060,??,0,click,0.7158948685857321,0.7546816479400749
0:00:03.924123,??,0,click,0.6996245306633292,0.7247191011235955
0:00:04.545948,??,0,click,0.3454317897371715,0.7640449438202247
0:00:06.390163,01,0,click,0.13516896120150187,0.7546816479400749
0:00:06.620502,01,0,click,0.3591989987484355,0.7546816479400749
0:00:06.910341,02,0,click,0.30037546933667086,0.6348314606741573
0:00:07.087876,03,0,click,0.30037546933667086,0.6348314606741573
0:00:07.532416,04,0,click,0.28410513141426785,0.7453183520599251
0:00:07.610732,05,0,click,0.28410513141426785,0.7453183520599251
0:00:07.837914,06,0,click,0.2640801001251564,0.7490636704119851
0:00:08.074029,07,0,click,0.25782227784730916,0.7415730337078652
0:00:08.132256,08,0,click,0.25782227784730916,0.7415730337078652
0:00:08.303024,09,0,click,0.2490613266583229,0.7453183520599251
0:00:08.397739,10,0,click,0.2765957446808511,0.7378277153558053
0:00:08.487545,11,0,click,0.2765957446808511,0.7378277153558053
0:00:08.593285,12,0,click,0.28410513141426785,0.7059925093632959
0:00:08.699183,13,0,click,0.28410513141426785,0.7078651685393258
0:00:08.801194,14,0,click,0.2828535669586984,0.7378277153558053
0:00:08.905665,15,0,click,0.2765957446808511,0.7359550561797753
0:00:09.033788,16,0,click,0.27909887359199,0.7172284644194756
0:00:09.208920,17,0,click,0.295369211514393,0.7284644194756554
0:00:09.404521,18,0,click,0.28660826032540676,0.7116104868913857
0:00:09.566878,19,0,click,0.27409261576971217,0.6853932584269663
0:00:09.774966,20,0,click,0.2878598247809762,0.6891385767790262
0:00:10.782994,21,0,click,0.3316645807259074,0.7228464419475655
0:00:10.946167,22,0,click,0.3166458072590738,0.7378277153558053
0:00:11.155668,23,0,click,0.30287859824780977,0.7415730337078652
0:00:11.327963,24,0,click,0.2903629536921151,0.752808988764045
0:00:13.212709,25,0,click,0.3016270337922403,0.7790262172284644
0:00:13.398965,26,0,click,0.32040050062578224,0.7602996254681648
0:00:13.573135,27,0,click,0.2978723404255319,0.7752808988764045
0:00:13.748141,28,0,click,0.29912390488110135,0.7640449438202247
0:00:13.949211,29,0,click,0.2928660826032541,0.7621722846441947
0:00:14.104028,30,0,click,0.31789737171464333,0.7453183520599251
0:00:14.292643,31,0,click,0.3241551939924906,0.7209737827715356
0:00:14.454508,32,0,click,0.3241551939924906,0.7303370786516854
