reinforcement_ratio,warning_signal_points,warning_pecks,punishment_period,feed_time,total_reinforcements,skip_to_next_value,warning_alarm_volume,warning_display_volume,punishment_condition,subject,is_spot_on,random_warning,Time,Reinforcers,Quarter,Pecks,Event,x,y
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.627770,0,2.0,14,peck,0.4847222222222222,0.26111111111111107,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.628839,0,2.0,14,peck,0.6305555555555555,0.36777777777777776,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.664239,0,2.0,14,peck,0.5229166666666667,0.27888888888888885,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.676459,0,2.0,14,peck,0.6138888888888889,0.38222222222222224,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.688760,0,2.0,14,peck,0.6034722222222222,0.29888888888888887,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.712741,0,2.0,14,peck,0.6298611111111111,0.3911111111111111,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.737225,0,2.0,14,peck,0.5986111111111111,0.32666666666666666,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.750300,0,2.0,14,peck,0.6354166666666666,0.3977777777777778,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.762104,0,2.0,14,peck,0.5027777777777778,0.35777777777777775,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.924303,0,2.0,14,peck,0.37430555555555556,0.45111111111111113,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:07.931864,0,2.0,14,peck,0.36527777777777776,0.3244444444444444,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.005668,0,2.0,14,peck,0.41388888888888886,0.4355555555555556,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.030369,0,2.0,14,peck,0.46458333333333335,0.38111111111111107,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.067059,0,2.0,14,peck,0.5090277777777777,0.41888888888888887,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.103794,0,2.0,14,peck,0.5923611111111111,0.36,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.111968,0,2.0,14,peck,0.5805555555555556,0.4377777777777778,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.136188,0,2.0,14,peck,0.5958333333333333,0.3455555555555555,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.149052,0,2.0,14,peck,0.5972222222222222,0.44999999999999996,False
