reinforcement_ratio,warning_signal_points,warning_pecks,punishment_period,feed_time,total_reinforcements,skip_to_next_value,warning_alarm_volume,warning_display_volume,punishment_condition,subject,is_spot_on,random_warning,Time,Reinforcers,Quarter,Pecks,Event,x,y
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:00.004083,0,1,0,Start,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:01.943569,0,1,0,peck,0.6949270326615705,0.3559510567296996,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:02.027535,0,1,1,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:02.138405,0,1.0,1,peck,0.6949270326615705,0.3559510567296996,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:02.225039,0,1.0,2,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:02.324585,0,1.0,2,peck,0.6949270326615705,0.3559510567296996,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:02.424893,0,1.0,3,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:02.523567,0,2.0,3,peck,0.6949270326615705,0.3559510567296996,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:02.623117,0,2.0,4,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:02.858802,0,2.0,4,peck,0.6949270326615705,0.3559510567296996,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:02.957202,0,2.0,5,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:03.068664,0,3.0,5,peck,0.6949270326615705,0.3559510567296996,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:03.154814,0,3.0,6,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:03.254466,0,3.0,6,peck,0.6949270326615705,0.3559510567296996,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:03.353898,0,3.0,7,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:03.491668,0,3.0,7,peck,0.6949270326615705,0.3559510567296996,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:03.614900,0,3.0,8,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:04.011298,0,4.0,8,peck,0.6949270326615705,0.3559510567296996,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:04.123015,0,4.0,9,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:04.493645,0,4.0,9,peck,0.6949270326615705,0.3559510567296996,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:04.604151,0,4.0,10,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:04.696957,1,4.0,10,reinforcement,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:09.701158,1,1,10,starting-again,0,0,False
