reinforcement_ratio,warning_signal_points,warning_pecks,punishment_period,feed_time,total_reinforcements,skip_to_next_value,warning_alarm_volume,warning_display_volume,punishment_condition,subject,is_spot_on,random_warning,Time,Reinforcers,Quarter,Pecks,Event,x,y
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:00.011801,0,1,0,Start,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:01.271190,0,1,0,peck,0.6984016678248783,0.3859844271412681,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:01.361157,0,1,1,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:02.207256,0,1.0,1,peck,0.6949270326615705,0.38264738598442716,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:02.293584,0,1.0,2,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:02.392123,0,1.0,2,peck,0.6949270326615705,0.38264738598442716,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:02.478423,0,1.0,3,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:02.564993,0,1.0,3,peck,0.6949270326615705,0.38264738598442716,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:02.638219,0,1.0,4,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:02.725079,0,1.0,4,peck,0.6949270326615705,0.38264738598442716,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:02.811302,0,1.0,5,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:02.898539,0,1.0,5,peck,0.6949270326615705,0.38264738598442716,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:02.997550,0,1.0,6,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:03.072065,0,2.0,6,peck,0.6949270326615705,0.38264738598442716,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:03.171153,0,2.0,7,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:03.246392,0,2.0,7,peck,0.6949270326615705,0.38264738598442716,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:03.358250,0,2.0,8,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:03.433467,0,2.0,8,peck,0.6949270326615705,0.38264738598442716,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:03.557758,0,2.0,9,green,0,0,False
