reinforcement_ratio,warning_signal_points,warning_pecks,punishment_period,feed_time,total_reinforcements,skip_to_next_value,warning_alarm_volume,warning_display_volume,punishment_condition,subject,is_spot_on,random_warning,Time,Reinforcers,Quarter,Pecks,Event,x,y
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:00.007813,0,1,0,Start,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.916368,0,1,0,peck,0.7199444058373871,0.35261401557285876,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:06.988710,0,1,1,green,0,0,False
