Time,Operant,Reinforcers,Event,x,y
0:00:06.424937,??,0,click,0.2932551319648094,0.7629382303839733
0:00:06.637352,01,0,click,0.2932551319648094,0.7662771285475793
0:00:06.875546,02,0,click,0.2932551319648094,0.7662771285475793
0:00:07.004835,03,0,click,0.2961876832844575,0.7679465776293823
0:00:07.126484,04,0,click,0.2961876832844575,0.7696160267111853
0:00:07.370946,05,0,click,0.2961876832844575,0.7696160267111853
0:00:07.499771,06,0,click,0.2961876832844575,0.7696160267111853
0:00:07.740433,07,0,click,0.2961876832844575,0.7696160267111853
0:00:07.877140,08,0,click,0.2961876832844575,0.7696160267111853
0:00:09.220701,09,0,click,0.2961876832844575,0.7696160267111853
0:00:09.223210,10,0,click,0.2961876832844575,0.7696160267111853
0:00:09.224857,11,0,click,0.2961876832844575,0.7696160267111853
0:00:09.227186,12,0,click,0.2961876832844575,0.7696160267111853
0:00:43.252533,00,0,click,0.375366568914956,0.6878130217028381
0:00:43.832163,01,0,click,0.2883675464320626,0.7579298831385642
0:00:45.082313,02,0,click,0.3040078201368524,0.7362270450751252
0:00:45.084011,03,0,click,0.30596285434995113,0.7362270450751252
0:00:45.085545,04,0,click,0.3069403714565005,0.7378964941569282
0:00:45.713599,05,0,click,0.30791788856304986,0.7395659432387311
