reinforcement_ratio,warning_signal_points,warning_pecks,punishment_period,feed_time,total_reinforcements,skip_to_next_value,warning_alarm_volume,warning_display_volume,punishment_condition,subject,is_spot_on,random_warning,Time,Reinforcers,Quarter,Pecks,Event,x,y
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.746573,0,3.0,24,peck,0.6796386379430159,0.32258064516129037,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.858449,0,3.0,25,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.945696,0,3.0,25,peck,0.6803335649756775,0.32258064516129037,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:09.070063,0,3.0,26,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:09.132941,0,3.0,26,peck,0.6824183460736623,0.32591768631813123,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:09.243723,0,3.0,27,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:09.330200,0,3.0,27,peck,0.6831132731063239,0.32591768631813123,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:09.465614,0,3.0,28,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:09.551743,0,3.0,28,peck,0.6858929812369701,0.3337041156840934,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:09.675499,0,3.0,29,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:09.763171,0,3.0,29,peck,0.6858929812369701,0.3337041156840934,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:09.849663,0,3.0,30,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:09.936595,0,3.0,30,peck,0.6858929812369701,0.33259176863181317,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:10.034782,0,3.0,31,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:10.122153,0,3.0,31,peck,0.6858929812369701,0.33259176863181317,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:10.221252,0,3.0,32,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:10.319762,0,3.0,32,peck,0.6858929812369701,0.33259176863181317,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:10.431450,0,3.0,33,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:10.530673,0,3.0,33,peck,0.6858929812369701,0.33259176863181317,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:10.653396,0,3.0,34,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:10.729024,0,4.0,34,peck,0.6858929812369701,0.33259176863181317,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:10.865187,0,4.0,35,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:10.939392,0,4.0,35,peck,0.6858929812369701,0.33259176863181317,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:11.063965,0,4.0,36,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:11.162418,0,4.0,36,peck,0.6851980542043086,0.3270300333704116,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:11.260919,0,4.0,37,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:11.347902,0,4.0,37,peck,0.6851980542043086,0.3270300333704116,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:11.446613,0,4.0,38,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:11.544956,0,4.0,38,peck,0.6851980542043086,0.3270300333704116,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:11.657258,0,4.0,39,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:11.744171,0,4.0,39,peck,0.6851980542043086,0.3270300333704116,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:11.853883,0,4.0,40,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:11.940676,0,4.0,40,peck,0.6851980542043086,0.3270300333704116,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:12.038928,0,4.0,41,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:12.138686,0,4.0,41,peck,0.6851980542043086,0.3270300333704116,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:12.235910,0,4.0,42,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:12.323622,0,4.0,42,peck,0.6851980542043086,0.3270300333704116,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:12.435086,0,4.0,43,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:12.521043,0,4.0,43,peck,0.6851980542043086,0.3270300333704116,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:12.619339,0,4.0,44,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:12.717783,0,4.0,44,peck,0.6851980542043086,0.3270300333704116,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:12.827497,0,4.0,45,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:12.919479,1,4.0,45,reinforcement,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:12.922628,1,0,45,blind-peck,0.6851980542043086,0.3270300333704116,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:13.034436,1,0,1,green,0,0,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:17.925756,1,1,1,starting-again,0,0,False
